d_id,u_id,rating,review
1,2,4
1,13,4
1,14,2
1,17,1
1,18,4
1,20,5
1,22,5
1,29,1
1,33,5
1,38,2
1,41,2
1,45,5
1,46,4
2,6,3
2,8,1
2,9,5
2,13,1
2,26,4
2,30,3
2,33,1
2,37,3
2,41,4
2,45,3
2,47,1
2,49,4
2,50,2
3,1,1
3,3,4
3,8,2
3,9,1
3,12,1
3,14,5
3,16,5
3,18,2
3,20,3
3,21,3
3,24,3
3,29,4
3,34,4
3,35,2
3,37,3
3,42,4
4,4,1
4,8,2
4,12,1
4,16,5
4,20,1
4,32,4
4,38,5
4,39,5
4,41,1
4,42,3
4,45,4
4,47,1
5,1,2
5,4,2
5,6,3
5,7,5
5,8,3
5,9,5
5,11,2
5,17,5
5,19,4
5,20,5
5,22,5
5,23,3
5,31,4
5,37,3
5,47,1
5,49,2
6,1,4
6,7,4
6,23,3
6,24,5
6,26,3
6,27,2
6,31,1
6,36,4
6,50,2
7,2,1
7,5,1
7,10,3
7,14,5
7,15,1
7,17,2
7,23,5
7,25,5
7,26,1
7,30,3
7,31,4
7,32,4
7,44,5
7,45,4
7,50,2
8,9,1
8,10,4
8,15,5
8,17,4
8,19,1
8,23,4
8,36,5
8,44,4
8,45,4
8,46,1
9,8,1
9,13,4
9,19,1
9,21,3
9,29,3
9,34,1
9,39,1
9,41,3
9,48,4
9,49,3
10,1,3
10,4,3
10,8,3
10,11,1
10,19,1
10,37,5
10,45,2
11,2,2
11,4,2
11,7,2
11,18,5
11,19,4
11,35,3
11,45,1
11,46,1
12,3,5
12,4,2
12,6,5
12,7,3
12,8,4
12,11,4
12,14,5
12,17,5
12,24,1
12,25,2
12,30,3
12,32,1
12,33,1
12,40,4
12,43,1
12,44,5
12,50,2
13,1,5
13,8,2
13,9,2
13,11,4
13,17,3
13,24,4
13,37,5
13,45,5
13,46,3
13,47,2
14,8,3
14,13,4
14,22,5
14,29,4
14,35,2
14,36,4
14,38,3
14,45,5
15,1,4
15,4,1
15,19,2
15,25,1
15,30,3
15,31,2
15,46,1
15,49,4
15,50,4
16,7,3
16,8,4
16,9,4
16,12,2
16,14,5
16,20,4
16,22,3
16,23,5
16,29,3
16,30,3
16,34,3
16,38,5
16,42,2
16,43,2
16,46,4
16,47,5
16,50,3
17,5,2
17,9,4
17,20,1
17,23,1
17,24,5
17,35,1
17,37,3
17,40,3
17,41,5
17,47,5
18,9,4
18,21,3
18,22,5
18,25,4
18,27,5
18,28,5
18,31,1
18,32,5
18,42,3
18,46,5
18,49,4
18,50,2
19,2,4
19,4,3
19,7,3
19,10,3
19,11,4
19,18,3
19,22,3
19,28,2
19,32,4
19,33,4
19,42,1
19,44,1
20,8,3
20,9,3
20,13,2
20,16,2
20,17,5
20,38,1
20,39,5
20,44,2
20,45,1
20,47,5
20,49,4
21,5,1
21,6,1
21,9,1
21,11,1
21,12,1
21,17,1
21,21,5
21,22,3
21,24,1
21,31,1
21,35,1
21,39,4
21,42,3
21,45,4
21,46,4
22,1,2
22,2,4
22,6,1
22,11,1
22,15,3
22,24,2
